itemid,label,category,fluid,tracked,n_rows,units,loinc
51168,CD20,Hematology,Blood,,261,,8119-0
51344,Bands,Hematology,Cerebrospinal Fluid (CSF),,260,%,26509-0
51416,CD7,Hematology,Other Body Fluid,,260,,57425-1
51399,CD2,Hematology,Other Body Fluid,,258,,17827-7
51183,CD45,Hematology,Blood,,256,,8130-7
50990,Theophylline,Chemistry,Blood,,253,ug/mL;ug/ml,4049-3
51060,"Triglycerides, Pleural",Chemistry,Pleural,,251,mg/dL,9619-8
51313,CD19,Hematology,Bone Marrow,,248,,32525-8
51184,CD5,Hematology,Blood,,241,,8132-3
51406,CD34,Hematology,Other Body Fluid,,238,;#/uL,
51376,Macrophage,Hematology,Joint Fluid,,236,%,33376-5
51370,"Joint Crystals, Birefringence",Hematology,Joint Fluid,,234,,
51372,"Joint Crystals, Location",Hematology,Joint Fluid,,234,,
51374,"Joint Crystals, Shape",Hematology,Joint Fluid,,234,,
50958,Luteinizing Hormone,Chemistry,Blood,,229,mIU/mL;mIU/L,1599-0
51068,24 hr Protein,Chemistry,Urine,,225,mg/24hr;mg/24hours,2889-4
51460,"Blood, Occult",Hematology,Stool,,224,,2335-8
51319,CD3,Hematology,Bone Marrow,,219,,32529-0
51337,HLA-DR,Hematology,Bone Marrow,,218,,51380-4
51340,Kappa,Hematology,Bone Marrow,,218,,
51341,Lambda,Hematology,Bone Marrow,,218,,
51199,Eosinophil Count,Hematology,Blood,,217,#/uL,26449-9
51303,CD10,Hematology,Bone Marrow,,217,,51216-0
51315,CD20,Hematology,Bone Marrow,,216,,
51238,Kappa,Hematology,Blood,,215,,
51239,Lambda,Hematology,Blood,,214,,
51152,CD10,Hematology,Blood,,211,,8107-5
51017,"PEP, CSF",Chemistry,Cerebrospinal Fluid (CSF),,210,,24352-7
51326,CD5,Hematology,Bone Marrow,,208,,35640-2
51230,HLA-DR,Hematology,Blood,,205,,32621-5
51507,"Urine Casts, Other",Hematology,Urine,,198,#/lpf,9842-6
50962,N-Acetylprocainamide (NAPA),Chemistry,Blood,,195,ug/mL,3834-9
50972,Procainamide,Chemistry,Blood,,195,ug/mL,3982-6
51228,Heparin,Hematology,Blood,,191,U/mL,13055-9
50886,Blood Culture Hold,Chemistry,Blood,,188,,
51273,"Protein S, Functional",Hematology,Blood,,181,%,31102-7
51332,CD7,Hematology,Bone Marrow,,175,,35641-0
51314,CD2,Hematology,Bone Marrow,,168,,32527-4
51235,Inhibitor Screen,Hematology,Blood,,162,,
51115,"Hematocrit, Ascites",Hematology,Ascites,,161,%,
50992,Thyroid Peroxidase Antibodies,Chemistry,Blood,,160,IU/mL;,8099-4
51110,Atypical Lymphocytes,Hematology,Ascites,,160,%,33369-0
51440,Atypical Lymphocytes,Hematology,Pleural,,159,%,33370-8
50991,Thyroglobulin,Chemistry,Blood,,158,ng/mL,3013-0
51192,CD7,Hematology,Blood,,158,,8135-6
51510,"Urine Crystals, Other",Hematology,Urine,,158,,5783-6
51481,Hemosiderin,Hematology,Urine,,157,,4644-1
51167,CD2,Hematology,Blood,,155,,8118-2
51321,CD34,Hematology,Bone Marrow,,155,,57400-4
51215,FMC-7,Hematology,Blood,,153,,17220-5
51106,Urine Creatinine,Chemistry,Urine,,151,mg/dL,
51109,"Urine Volume, Total",Chemistry,Urine,,151,mL,28009-9
51080,Creatinine Clearance,Chemistry,Urine,,150,mL/min,33558-8
51081,"Creatinine, Serum",Chemistry,Urine,,150,mg/dL,
51101,Total Collection Time,Chemistry,Urine,,150,hrs,13362-9
51172,CD23,Hematology,Blood,,150,,14018-6
51302,Young Cells,Hematology,Blood,,149,%,51633-6
51471,Cellular Cast,Hematology,Urine,,144,#/lpf,
51317,CD23,Hematology,Bone Marrow,,141,,51268-1
51335,FMC-7,Hematology,Bone Marrow,,140,,
51307,CD13,Hematology,Bone Marrow,,139,,51237-6
51357,NRBC,Hematology,Cerebrospinal Fluid (CSF),,138,%,48778-5
50865,Amikacin,Chemistry,Blood,,137,ug/mL,
51442,Basophils,Hematology,Pleural,,137,%,35070-2
51298,Von Willebrand Factor Activity,Hematology,Blood,,135,%,6014-5
51299,Von Willebrand Factor Antigen,Hematology,Blood,,127,%,6012-9
51441,Bands,Hematology,Pleural,,121,%,
51111,Bands,Hematology,Ascites,,120,%,
51345,Basophils,Hematology,Cerebrospinal Fluid (CSF),,119,%,30374-3
51320,CD33,Hematology,Bone Marrow,,115,,51293-9
51386,Bands,Hematology,Other Body Fluid,,111,%,26510-8
51064,"Potassium, Stool",Chemistry,Stool,,110,mEq/L,15202-5
51065,"Sodium, Stool",Chemistry,Stool,,110,mEq/L,15207-4
51305,CD117,Hematology,Bone Marrow,,109,,42866-4
50850,"Triglycerides, Ascites",Chemistry,Ascites,,106,mg/dL,14447-7
51515,Waxy Casts,Hematology,Urine,,106,#/lpf,5819-8
50928,Gastrin,Chemistry,Blood,,99,pg/mL,2333-3
51310,CD15,Hematology,Bone Marrow,,99,,51251-7
51289,Serum Viscosity,Hematology,Blood,,98, ,3128-6
51225,Hemoglobin F,Hematology,Blood,,96,%,9749-3
51323,CD4,Hematology,Bone Marrow,,95,,51301-0
51309,CD14,Hematology,Bone Marrow,,92,,32507-6
51066,24 hr Calcium,Chemistry,Urine,,91,mg/24hr,6874-2
51291,Sickle Cells,Hematology,Blood,,91,,801-1
51334,CD8,Hematology,Bone Marrow,,87,,51372-1
51369,"Hematocrit, Joint Fluid",Hematology,Joint Fluid,,87,%,
51049,"Bilirubin, Total, Pleural",Chemistry,Pleural,,84,mg/dL,14421-2
51188,CD56,Hematology,Blood,,84,,8133-1
51368,Eosinophils,Hematology,Joint Fluid,,83,%,17834-3
51454,Plasma Cells,Hematology,Pleural,,83,%,40522-5
51465,Bilirubin Crystals,Hematology,Urine,,83,,5771-1
51042,"Sodium, Body Fluid",Chemistry,Other Body Fluid,,82,mEq/L,2950-4
51112,Basophils,Hematology,Ascites,,82,%,35069-4
51063,"Osmolality, Stool",Chemistry,Stool,,80,mOsm/kg,2693-0
51223,Hemoglobin A2,Hematology,Blood,,80,%,4552-6
51247,MacroOvalocytes,Hematology,Blood,,80,,10376-2
51331,CD64,Hematology,Bone Marrow,,80,,51365-5
51306,CD11c,Hematology,Bone Marrow,,79,,33202-3
51178,CD34,Hematology,Blood,,78,%,8125-7
51328,CD56,Hematology,Bone Marrow,,77,,
50921,Estradiol,Chemistry,Blood,,76,pg/mL,2243-4
51041,"Potassium, Body Fluid",Chemistry,Other Body Fluid,,76,mEq/L,2821-7
51156,CD13,Hematology,Blood,,76,,8110-9
51387,Basophils,Hematology,Other Body Fluid,,75,%,28543-7
50853,25-OH Vitamin D,Chemistry,Blood,,74,ng/mL,
51124,Plasma,Hematology,Ascites,,73,%,40518-3
51324,CD41,Hematology,Bone Marrow,,73,,51319-2
51272,"Protein S, Antigen",Hematology,Blood,,72,%,27823-4
51045,"Urea Nitrogen, Body Fluid",Chemistry,Other Body Fluid,,71,mg/dL,3093-2
51177,CD33,Hematology,Blood,,71,,8102-6
51408,CD4,Hematology,Other Body Fluid,,71,,17822-8
51158,CD14,Hematology,Blood,,70,,8111-7
51452,NRBC,Hematology,Pleural,,70,%,
51155,CD11c,Hematology,Blood,,68,,8109-1
51385,Atypical Lymphocytes,Hematology,Other Body Fluid,,68,%,30417-0
51333,CD71,Hematology,Bone Marrow,,67,,
51418,CD8,Hematology,Other Body Fluid,,66,,17824-4
51030,"Chloride, Body Fluid",Chemistry,Other Body Fluid,,65,mEq/L,2072-7
51016,"Miscellaneous, CSF",Chemistry,Cerebrospinal Fluid (CSF),,64,,
51205,Factor VII,Hematology,Blood,,64,%,3198-9
51336,Glyco A,Hematology,Bone Marrow,,64,,33208-0
51044,Triglycer,Chemistry,Other Body Fluid,,63,mg/dL,12228-3
51084,"Glucose, Urine",Chemistry,Urine,,62,mg/dL,2350-7
51062,"Chloride, Stool",Chemistry,Stool,,61,mEq/L,15158-9
51159,CD15,Hematology,Blood,,61,,17117-3
51241,Leukocyte Alkaline Phosphatase,Hematology,Blood,,61,Score,4659-9
51154,CD117,Hematology,Blood,,60,,17107-4
51038,"Miscellaneous, Body Fluid",Chemistry,Other Body Fluid,,59,,
51083,"Ethanol, Urine",Chemistry,Urine,,59,,5644-0
51182,CD41,Hematology,Blood,,59,,17148-8
51348,"Hematocrit, CSF",Hematology,Cerebrospinal Fluid (CSF),,59,%,30398-2
50848,"Sodium, Ascites",Chemistry,Ascites,,58,mEq/L,49790-9
50916,DHEA-Sulfate,Chemistry,Blood,,58,ug/dL;nG/mL,2191-5
51191,CD64,Hematology,Blood,,58,,17183-5
51193,CD71,Hematology,Blood,,57,,8136-4
51217,Glyco A,Hematology,Blood,,56,,17221-3
51027,"Bicarbonate, Other Fluid",Chemistry,Other Body Fluid,,55,mEq/L,11211-0
51072,"Amylase, Urine",Chemistry,Urine,,55,U/L,1799-6
51073,"Amylase/Creatinine Ratio, Urine",Chemistry,Urine,,55,Ratio,34235-2
51204,Factor V,Hematology,Blood,,55,%,3193-0
51208,Factor X,Hematology,Blood,,54,%,3218-5
51022,"Glucose, Joint Fluid",Chemistry,Joint Fluid,,53,mg/dL,2348-1
51149,Bleeding Time,Hematology,Blood,,53,min,11067-6
51203,Factor IX,Hematology,Blood,,52,%,3188-0
51392,CD13,Hematology,Other Body Fluid,,51,,51238-4
51160,CD16/56,Hematology,Blood,,50,,18267-5
51270,"Protein C, Antigen",Hematology,Blood,,50,%,27820-0
51494,RBC Casts,Hematology,Urine,,50,#/lpf,5807-3
50847,"Potassium, Ascites",Chemistry,Ascites,,48,mEq/L,49789-1
51122,Nucleated RBC,Hematology,Ascites,,48,%,
51207,Factor VIII Inhibitor,Hematology,Blood,,48,,3204-5
51381,Other,Hematology,Joint Fluid,,48,%,
51433,NRBC,Hematology,Other Body Fluid,,46,%,
50839,"Chloride, Ascites",Chemistry,Ascites,,45,mEq/L,33366-6
51061,"Bicarbonate, Stool",Chemistry,Stool,,45,mEq/L,14040-0
50830,"pCO2, Body Fluid",Blood Gas,Other Body Fluid,,43,;mm Hg,2023-0
50837,"Bicarbonate, Ascites",Chemistry,Ascites,,43,mEq/L,54360-3
51366,Bands,Hematology,Joint Fluid,,43,%,33361-7
51220,Heinz Body Prep,Hematology,Blood,,41,,48068-1
51353,Mesothelial cells,Hematology,Cerebrospinal Fluid (CSF),,41,%,30429-5
51187,CD55,Hematology,Blood,,40,,17175-1
51190,CD59,Hematology,Blood,,40,,17177-7
50901,Centromere,Chemistry,Blood,,39,,16570-4
51011,<Albumin>,Chemistry,Cerebrospinal Fluid (CSF),,37,mg/dL,1746-7
51502,Trichomonas,Hematology,Urine,,36,,32724-7
51511,Urine Fat Bodies,Hematology,Urine,,36,,2272-3
51413,CD56,Hematology,Other Body Fluid,,35,,57424-4
51096,Porphobilinogen Screen,Chemistry,Urine,,34,+/-,2809-2
51495,RBC Clumps,Hematology,Urine,,34,,
51209,Factor XI,Hematology,Blood,,32,%,3226-8
51405,CD33,Hematology,Other Body Fluid,,32,,51294-7
51397,CD16/56,Hematology,Other Body Fluid,,31,,18268-3
51202,Factor II,Hematology,Blood,,30,%,3289-6
51024,"Total Protein, Joint Fluid",Chemistry,Joint Fluid,,28,g/dL,2886-0
51290,Sickle Cell Preparation,Hematology,Blood,,28,,6864-3
51354,Metamyelocytes,Hematology,Cerebrospinal Fluid (CSF),,28,%,30366-9
51390,CD117,Hematology,Other Body Fluid,,28,,42867-2
51496,"Reducing Substances, Urine",Hematology,Urine,,26,%,
51359,Plasma,Hematology,Cerebrospinal Fluid (CSF),,25,%,47413-0
51377,Mesothelial Cells,Hematology,Joint Fluid,,25,%,33365-8
51391,CD11c,Hematology,Other Body Fluid,,25,,51232-7
51395,CD15,Hematology,Other Body Fluid,,25,,51252-5
51467,Broad Casts,Hematology,Urine,,25,#/lpf,18487-9
51280,Reptilase Time,Hematology,Blood,,22,sec,6683-7
51281,Reptilase Time Control,Hematology,Blood,,22,sec,
51415,CD64,Hematology,Other Body Fluid,,22,,51366-3
51393,CD138,Hematology,Other Body Fluid,,21,,42871-4
51161,CD16,Hematology,Blood,,20,,8115-8
51470,Calcium Phosphate Crystals,Hematology,Urine,,20,,5775-2
51394,CD14,Hematology,Other Body Fluid,,19,,51248-3
51174,CD3 %,Hematology,Blood,,17,%,
51175,CD3 Absolute Count,Hematology,Blood,,17,#/uL,
51286,Ristocetin,Hematology,Blood,,17,,
51365,Atypical Lymphocytes,Hematology,Joint Fluid,,17,%,33371-6
51461,Ammonium Biurate,Hematology,Urine,,17,,12454-5
50851,"Urea Nitrogen, Ascites",Chemistry,Ascites,,16,mg/dL,12265-5
50875,Anti-Parietal Cell Antibody,Chemistry,Blood,,16,,26969-6
51020,"Amylase, Joint Fluid",Chemistry,Joint Fluid,,16,IU/L,14388-3
51142,Arachadonic Acid,Hematology,Blood,,16,,
51179,CD38,Hematology,Blood,,16,,8126-5
51189,CD57,Hematology,Blood,,16,,
51346,Blasts,Hematology,Cerebrospinal Fluid (CSF),,16,%,26447-3
50870,"Anti-Gliadin Antibody, IgA",Chemistry,Blood,,15,units,7893-1
51058,"Sodium, Pleural",Chemistry,Pleural,,15,mEq/L,
51135,ADP,Hematology,Blood,,15,,
51195,Collagen,Hematology,Blood,,15,,
51201,Epinepherine,Hematology,Blood,,15,,
51211,Factor XIII,Hematology,Blood,,15,%;,3240-9
51350,Immunophenotyping,Hematology,Cerebrospinal Fluid (CSF),,15,,
50844,"Lipase, Ascites",Chemistry,Ascites,,14,U/L,32722-1
51210,Factor XII,Hematology,Blood,,14,%,3232-6
51312,CD16/56,Hematology,Bone Marrow,,14,,51255-8
51500,Sulfonamides,Hematology,Urine,,14,,5812-3
50832,"pO2, Body Fluid",Blood Gas,Other Body Fluid,,13,;mm Hg,2706-0
51057,"Potassium, Pleural",Chemistry,Pleural,,13,mEq/L,
51380,NRBC,Hematology,Joint Fluid,,13,%,48040-0
51407,CD38,Hematology,Other Body Fluid,,13,,51299-6
51430,Metamyelocytes,Hematology,Other Body Fluid,,13,%,17801-2
51488,Non-squamous Epithelial Cells,Hematology,Urine,,13,#/hpf,41284-1
50858,Acid Phosphatase,Chemistry,Blood,,12,IU/L,1715-2
50859,"Acid Phosphatase, Non-Prostatic",Chemistry,Blood,,12,IU/L,
50982,Sex Hormone Binding Globulin,Chemistry,Blood,,12,nmol/L,2942-1
51021,"Creatinine, Joint Fluid",Chemistry,Joint Fluid,,12,mg/dL,14401-4
51036,"Lipase, Body Fluid",Chemistry,Other Body Fluid,,12,U/L,15212-4
51037,"Magnesium, Body Fluid",Chemistry,Other Body Fluid,,12,mg/dL,29365-4
51040,"Phosphate, Body Fluid",Chemistry,Other Body Fluid,,12,mg/dL,12242-4
51410,CD41,Hematology,Other Body Fluid,,12,,51320-0
50869,Anti-DGP (IgA/IgG),Chemistry,Blood,,11,units,
51039,"Osmolality, Body Fluid",Chemistry,Other Body Fluid,,11,mOsm/kg,15200-9
51050,"Chloride, Pleural",Chemistry,Pleural,,11,mEq/L,53627-6
51173,CD25,Hematology,Blood,,11,,
51212,Fetal Hemoglobin,Hematology,Blood,,11,%,4576-5
51356,Myelocytes,Hematology,Cerebrospinal Fluid (CSF),,11,%,30447-7
51417,CD71,Hematology,Other Body Fluid,,11,,57426-9
51435,Plasma,Hematology,Other Body Fluid,,11,%,17803-8
51490,Oval Fat Body,Hematology,Urine,,11,,
51526,FRUCAMN+,CHEMISTRY,BLOOD,,11,umol/L,
50977,Quinidine,Chemistry,Blood,,10,ug/mL,6694-4
51023,"LD, Joint Fluid",Chemistry,Joint Fluid,,10,IU/L,2533-8
51171,CD22,Hematology,Blood,,10,,14017-8
51364,Young,Hematology,Cerebrospinal Fluid (CSF),,10,%,
51367,Basophils,Hematology,Joint Fluid,,10,%,17833-5
51421,Glyco A,Hematology,Other Body Fluid,,10,,57430-1
51449,Metamyelocytes,Hematology,Pleural,,10,%,
50888,Blue Top Hold Frozen,Chemistry,Blood,,9,,
51029,"Calcium, Body Fluid",Chemistry,Other Body Fluid,,9,mg/dL,15155-5
51031,"Cholesterol, Body Fluid",Chemistry,Other Body Fluid,,9,mg/dL,12183-0
51162,CD16/56 Absolute Count,Hematology,Blood,,9,#/uL,
51163,CD16/56%,Hematology,Blood,,9,%,
51295,TdT,Hematology,Blood,,9,,
51322,CD38,Hematology,Bone Marrow,,9,,
51401,CD22,Hematology,Other Body Fluid,,9,,42875-5
51451,Myelocytes,Hematology,Pleural,,9,%,
50845,"Miscellaneous, Ascites",Chemistry,Ascites,,8,,
50860,"AFP, Maternal Screen",Chemistry,Blood,,8,ng/mL,
51153,CD103,Hematology,Blood,,8,,
51185,CD5 %,Hematology,Blood,,8,%,
51186,CD5 Absolute Count,Hematology,Blood,,8,#/uL,
51409,CD4/CD8 Ratio,Hematology,Other Body Fluid,,8,,18266-7
50840,"Cholesterol, Ascites",Chemistry,Ascites,,7,mg/dL,14441-0
50947,I,Chemistry,Blood,,7,U,
51056,"Miscellaneous, Pleural",Chemistry,Pleural,,7,,
51468,Calcium Carbonate Crystals,Hematology,Urine,,7,,5773-7
51521,"ACID PHOSPHATASE, PROSTATIC",CHEMISTRY,BLOOD,,7,IU/L,
50934,H,Chemistry,Blood,,6,U,
50936,"HCG, Maternal Screen",Chemistry,Blood,,6,IU/mL,
50959,Macro Prolactin,Chemistry,Blood,,6,,
51004,"UE3, Maternal Screen",Chemistry,Blood,,6,ng/mL,
51048,"Bicarbonate, Pleural",Chemistry,Pleural,,6,mEq/L,54361-1
51119,Metamyelocytes,Hematology,Ascites,,6,%,
51253,Monocyte Count,Hematology,Blood,,6,#/uL,26484-6
51285,"Reticulocyte, Cellular Hemoglobin",Hematology,Blood,,6,pg,
51318,CD25,Hematology,Bone Marrow,,6,,
51403,CD25,Hematology,Other Body Fluid,,6,,
51432,Myelocytes,Hematology,Other Body Fluid,,6,%,17800-4
51533,WBCP,HEMATOLOGY,BLOOD,,6,%,
50894,Calculated Free Testosterone,Chemistry,Blood,,5,pg/mL,2991-8
51033,FetalFN,Chemistry,Other Body Fluid,,5,,
51308,CD138,Hematology,Bone Marrow,,5,,
51311,CD16,Hematology,Bone Marrow,,5,,
51361,Promyelocytes,Hematology,Cerebrospinal Fluid (CSF),,5,%,
51396,CD16,Hematology,Other Body Fluid,,5,,
51443,Blasts,Hematology,Pleural,,5,%,
51456,Promyelocytes,Hematology,Pleural,,5,%,
51472,Cholesterol Crystals,Hematology,Urine,,5,,5777-8
51473,Cysteine Crystals,Hematology,Urine,,5,,5782-8
51480,Hematocrit,Hematology,Urine,,5,%,17809-5
51136,Alpha Antiplasmin,Hematology,Blood,,4,%,
51157,CD138,Hematology,Blood,,4,,42869-8
51165,CD19 %,Hematology,Blood,,4,%,
51166,CD19 Absolute Count,Hematology,Blood,,4,#/uL,
51169,CD20 %,Hematology,Blood,,4,%,
51170,CD20 Absolute Count,Hematology,Blood,,4,#/uL,
51242,LUC,Hematology,Blood,,4,%,
51282,"Reticulocyte Count, Absolute",Hematology,Blood,,4,/mm3,14196-0
51304,CD103,Hematology,Bone Marrow,,4,,51221-0
51475,Epithelial Casts,Hematology,Urine,,4,#/lpf,
51520,ANTI-MC,CHEMISTRY,BLOOD,,4,,32042-4
51528,STDY HOLD,CHEMISTRY,BLOOD,,4,,
51012,"Bilirubin, Total, CSF",Chemistry,Cerebrospinal Fluid (CSF),,3,mg/dL,1973-7
51121,Myelocytes,Hematology,Ascites,,3,%,
51258,Osmotic Fragility,Hematology,Blood,,3,,34964-7
51293,Sugar Water Test,Hematology,Blood,,3,,12260-6
51329,CD57,Hematology,Bone Marrow,,3,,
51389,CD103,Hematology,Other Body Fluid,,3,,
51437,Promyelocytes,Hematology,Other Body Fluid,,3,%,17799-8
51504,Tyrosine Crystals,Hematology,Urine,,3,,5815-6
50833,Potassium,Blood Gas,Other Body Fluid,,2,;mEq/L,2821-7
50846,"Osmolality, Ascites",Chemistry,Ascites,,2,mOsm/kg,2691-4
51113,Blasts,Hematology,Ascites,,2,%,
51129,Young,Hematology,Ascites,,2,%,
51141,APT Test,Hematology,Blood,,2,,
51316,CD22,Hematology,Bone Marrow,,2,,
51327,CD55,Hematology,Bone Marrow,,2,,51344-0
51330,CD59,Hematology,Bone Marrow,,2,,51358-0
51414,CD57,Hematology,Other Body Fluid,,2,,
51477,Free Fat,Hematology,Urine,,2,,53359-6
51485,Leucine Crystals,Hematology,Urine,,2,,5798-4
51525,Billed,CHEMISTRY,BLOOD,,2,,
51530,AF-AFP,CHEMISTRY,OTHER BODY FLUID,,2,ug/mL,
51532,PLASMGN,HEMATOLOGY,BLOOD,,2,%,
51534,MYELOS,HEMATOLOGY,JOINT FLUID,,2,%,
50834,"Sodium, Body Fluid",Blood Gas,Other Body Fluid,,1,mEq/L,2950-4
51019,"Albumin, Joint Fluid",Chemistry,Joint Fluid,,1,g/dL,
51055,"Lipase, Pleural",Chemistry,Pleural,,1,U/L,
51126,Promyelocytes,Hematology,Ascites,,1,%,
51349,Hypersegmented Neutrophils,Hematology,Cerebrospinal Fluid (CSF),,1,%,26506-6
51378,Metamyelocytes,Hematology,Joint Fluid,,1,%,
51459,Young Cells,Hematology,Pleural,,1,%,
51483,Hyphenated Yeast,Hematology,Urine,,1,,41865-7
51531,STDYURINE,CHEMISTRY,URINE,,1,,
51535,CD55,HEMATOLOGY,OTHER BODY FLUID,,1,,
51536,CD59,HEMATOLOGY,OTHER BODY FLUID,,1,,
51537,TDT,HEMATOLOGY,OTHER BODY FLUID,,1,,
51555,SURFACTANT ALBUMIN RATIO,CHEMISTRY,OTHER BODY FLUID,,1,mg/g,
